reference.clay,predicted.clay,standardized.residuals.clay,reference.silt,predicted.silt,standardized.residuals.silt,reference.sand,predicted.sand,standardized.residuals.sand
35.1,30.32063935,0.812777735,48,43.80844448,0.466459209,16.9,24.49841176,-0.731648525
35.1,28.9310936,1.049083786,46,43.88942109,0.234876757,18.9,25.74083767,-0.658701969
33.1,34.92946454,-0.311118611,45.9,43.70825895,0.243908924,21,20.11885098,0.084845544
39.1,31.28984082,1.328195119,37.9,42.47208588,-0.508806706,23,24.84512336,-0.17766631
42.9,40.51134781,0.406214023,31.8,36.67666691,-0.542702149,25.3,21.16092296,0.398550343
37.1,36.63147941,0.079676579,37.9,44.79499661,-0.767312909,25,19.71714178,0.50868465
15.1,27.83416519,-2.165571234,65.7,50.74884671,1.663846058,19.2,23.99505688,-0.461714421
5.1,9.55848986,-0.758210471,4,15.20012218,-1.246410814,90.9,72.0793298,1.812236033
15.1,25.87334828,-1.832114848,59.7,48.9607004,1.195127959,25.2,25.92386297,-0.069700523
3.1,6.994700439,-0.662332482,8,11.47431078,-0.386640294,88.9,79.1817119,0.935770708
3.1,8.761817305,-0.962848251,5.9,21.14808205,-1.696889913,91,69.70346719,2.050636014
36.3,34.2017991,0.356819896,37.8,39.5709827,-0.197084635,25.9,25.03869396,0.082934871
22.4,31.31230581,-1.515626098,43.9,66.36530903,-2.500062379,33.7,3.426328751,2.915041669
19.5,24.02522214,-0.769558958,29,38.80330408,-1.090965261,51.5,32.77208446,1.803304718
9.5,20.29499856,-1.835796693,31,31.20681016,-0.023014965,59.5,46.64456407,1.237845622
27.3,29.95204511,-0.451006604,28,35.71021253,-0.858034593,44.7,33.24896665,1.102616168
18.8,17.09207916,0.290448898,39,38.94645082,0.005959245,42.2,46.16203834,-0.381503346
25.8,29.31363138,-0.597527904,44,39.81326993,0.465922206,30.2,29.65725033,0.052261184
37.7,35.24677904,0.417194583,51.7,50.75347672,0.105334284,10.6,15.47097575,-0.469024624
45.7,33.31635651,2.105961537,31.9,43.21794307,-1.259522566,22.4,23.9396269,-0.148250159
27.1,26.48750933,0.10416012,58,53.74001742,0.474074145,14.9,22.18315491,-0.701292548
21.1,28.16492329,-1.201460355,63.8,53.26025999,1.172919877,15.1,19.89999677,-0.462190082
13.1,18.84719248,-0.977367147,9.9,28.76907452,-2.099853746,77,51.34198879,2.47060131
7.1,8.334837283,-0.209996341,13.9,12.73188533,0.129994185,79,79.83012833,-0.079932779
9.1,7.744954778,0.230438895,13.9,14.20809267,-0.034286237,77,79.06212849,-0.198561662
9.1,14.25462485,-0.876595138,12,21.08192788,-1.010686574,78.9,61.87803908,1.639038918
45,43.52784054,0.250355334,39.9,44.29480372,-0.489077779,15.1,11.83025121,0.314843016
31,27.3513316,0.62049229,21.9,32.24668381,-1.151435527,47.1,36.35520953,1.034612277
21.1,31.89903305,-1.836482798,63.8,50.36110717,1.495553449,15.1,18.805804,-0.356830627
11,7.400946685,0.612054753,10,21.32933801,-1.260790658,79,73.2147428,0.557060479
25,26.17646529,-0.200069604,45.9,46.51864287,-0.06884596,29.1,26.95630034,0.206416123
31.1,28.93779757,0.367703993,51.9,44.64247561,0.807656982,17,25.17816554,-0.787472821